Titulo,Estreno,Pais,Idiomas,Direccion,Nota,Productoras,Clasificacion,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Premios,Sinopsis,Genero1,Genero2,Duracion
Un túnel hacia la libertad,2001,Alemania,Aleman,Roland Suso Richter,6.7,EuropaCorp,G,Heino Ferch, Nicolette Krebitz, Sebastian Koch, Alexandra Maria Lara, Claudia Michelsen, Felix Eitner,Mejor Diseño de Producción,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Drama, Thriller,90
San Andrés,2015,Estados Unidos,Ingles,Brad Peyton,4.6,20th Century Studios,G,Dwayne Johnson, Alexandra Daddario, Carla Gugino, Paul Giamatti, Hugo Johnstone-Burt, Art Parkinson,Mejor Actriz Principal,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Acción, Aventuras,
Ponte Aérea,2015,Brasil,Portugues,Julia Rezende,6,Summit Entertainment,PG,Letícia Colin, Caio Blat, Emílio de Melo, Felipe Camargo, Silvio Guindane, Gabriela Rocha,Mejor Actriz de Reparto,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Romance,,120
Mis días felices,2013,Francia,Frances,Marion Vernoux,5.6,Screen Gems,PG-13,Fanny Ardant, Laurent Lafitte, Patrick Chesnais, Feodor Atkine, Émilie Caen, Alain Cauchi,Mejor Actriz Principal,,Drama, Comedia,60
What If...,2012,Grecia,,Christoforos Papakaliatis,6.2,Canal,G,Christoforos Papakaliatis, Marina Kalogirou, Maro Kodou, Giorgos Konstadinou, Themis Bazaka,,Mejor Actor Principal,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Intriga, Romance,45
Las brigadas del Tigre,2006,Francia,Frances,Jérôme Cornuau,5.2,Marvel Studios,PG,Clovis Cornillac, Diane Kruger, Édouard Baer, Olivier Gourmet, Stefano Accorsi, Jacques Gamblin,,,Thriller,,90
Nahid,2015,Irán,,Ida Panahandeh,6.3,Marvel Studios,PG,Sareh Bayat, Pejman Bazeghi, Navid Mohammadzadeh, Nasrin Babaei, Milad Hossein Pour, Pouria Rahimi,Mejor Diseño de Producción,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,Drama,,90
Truman,2015,España,Español,Cesc Gay,7,Regency Enterprises,PG-13,Javier Cámara, Ricardo Darín, Dolores Fonzi, Àlex Brendemühl, Javier Gutiérrez, Eduard Fernández,Mejor Película,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Drama, Comedia,90
Don't Say a Word (Kuch Naa Kaho),2003,India,Hindi,Rohan Sippy,5.4,Working Title Films,G,Aishwarya Rai, Abhishek Bachchan, Satish Shah, Suhasini Mulay, Jaspal Bhatti, Himani Shivpuri,Mejor Director,,Romance,,90
"Moscow, Belgium ",2008,Bélgica,,Christophe Van Rompaey,6.5,Columbia Pictures,PG-13,Barbara Sarafian, Jurgen Delnaet, Johan Heldenbergh, Anemone Valcke, Sofia Ferri, Griet van Damme,,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,Romance,,90
Show Me,2004,Canadá,Ingles,Cassandra Nicolaou,5,Columbia Pictures,PG-13,Michelle Nolden, Kett Turton, Gabriel Hogan, Allegra Fulton, Katharine Isabelle, J. Adam Brown,Mejor Actriz Principal,Morbi non quam nec dui luctus rutrum. Nulla tellus.,Thriller,,120
Agnosia,2010,España,Español,Eugenio Mira,4.4,Toho Company,PG-13,Eduardo Noriega, Félix Gómez, Bárbara Goenaga, Martina Gedeck, Sergi Mateu, Jack Taylor,Mejor Película,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Drama, Romance,120
The Chronicles of Evil,2015,Corea del Sur,Coreano,Baek Woon-hak,6.4,Lionsgate,PG-13,Son Hyun-joo, Ma Dong-seok, Daniel Choi, Park Seo-joon,,,,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Thriller,,90
El Maligno (Coisa Ruim),2006,Portugal,Portugues,"Tiago Guedes, Frederico Serra",5.2,Annapurna Pictures,NR,Adriano Luz, Manuela Couto, José Afonso Pimentel, João Santos, José Pinto, João Pedro Vaz,,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Intriga, Terror,150
Backtrack,2015,Australia,Ingles,Michael Petroni,4.9,Studio Ghibli,PG,Adrien Brody, Sam Neill, Bruce Spence, Robin McLeavy, Jenni Baird, Anna Lise Phillips,,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",Drama, Intriga,45
Hate Crime,2005,Estados Unidos,Ingles,Tommy Stovall,6,Walt Disney Pictures,R,Seth Peterson, Bruce Davison, Chad Donella, Cindy Pickett, Brian J. Smith, Susan Blakely,,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Intriga, Thriller,90
Tom à la ferme (Tom en la granja),2013,Canadá,Ingles,Xavier Dolan,6.4,Lionsgate Films,PG,Xavier Dolan, Pierre-Yves Cardinal, Lise Roy, Evelyne Brochu, Manuel Tadros, Jacques Lavallée,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Drama,,120
Evil (Ondskan),2003,Suecia,,Mikael Håfström,7.1,Sony Pictures Entertainment,PG-13,Andreas Wilson, Henrik Lundström, Gustaf Skarsgård, Linda Gyllenberg, Marie Richardson, Jesper Salén,,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Drama,,90
Oro,2017,España,Español,Agustín Díaz Yanes,5.1,Columbia Pictures,PG,Raúl Arévalo, José Coronado, Bárbara Lennie, Óscar Jaenada, Luis Callejo, Juan José Ballesta,Mejor Película,Nullam molestie nibh in lectus. Pellentesque at nulla.,Aventuras, Drama,120
Borgman,2013,Bajos (Holanda),,Alex van Warmerdam,6,Focus Features,NC-17,Jan Bijvoet, Hadewych Minis, Jeroen Perceval, Tom Dewispelaere, Sara Hjort Ditlevsen, Eva Van de Wijdeven,,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Intriga, Thriller,90
Descontroladas,2017,Estados Unidos,Ingles,Jonathan Levine,4.2,Columbia Pictures,G,Amy Schumer, Goldie Hawn, Christopher Meloni, Ike Barinholtz, Randall Park, Wanda Sykes,,,Comedia,,60
Warda,2014,Egipto,,Hadi El Bagoury,3.7,Legendary Pictures,PG-13,Nada Al Alfi, Bassel El Kadi, Farouk Hashem, Abeer Mansour, Samira Maqroun,,,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Intriga, Terror,60
Piercing,2018,Estados Unidos,Ingles,Nicolas Pesce,5.4,Miramax,PG-13,Mia Wasikowska, Marin Ireland, Christopher Abbott, Laia Costa, Maria Dizzia, Wendell Pierce,Mejor Diseño de Producción,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Thriller,,90
Camino a casa (Raising Victor Vargas),2002,Estados Unidos,Ingles,Peter Sollett,6,DreamWorks Pictures,R,Victor Rasuk, Judy Marte, Melonie Diaz, Altagracia Guzman, Silvestre Rasuk, Krystal Rodriguez,Mejor Actor Principal,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Drama, Romance,120
The Demolisher,2015,Canadá,Ingles,Gabriel Carrer,2.7,Lionsgate Films,PG,Ry Barrett, Tianna Nori, Jessica Vano, Duncan McLellan, Bruce Turner, Rich Piatkowski,,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Acción, Terror,90
La tela de araña,2018,Australia,Ingles,Mairi Cameron,4.9,Miramax,G,Rachael Blake, Susie Porter, Vince Colosimo, Martin Sacks, Susan Prior, Megan Dale,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Intriga,,120
El Hobbit: La batalla de los cinco ejércitos,2014,Nueva Zelanda,Ingles,Peter Jackson,6.3,Legendary Entertainment,PG-13,Martin Freeman, Ian McKellen, Richard Armitage, Luke Evans, Orlando Bloom, Aidan Turner,Mejor Diseño de Vestuario,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Acción, Aventuras,60
The Phoenix Incident,2015,Estados Unidos,Ingles,Keith Arem,3.9,Miramax,G,Elise Muller, Troy Baker, James C. Burns, Karl Girolamo, Matthew Grant Godbey, William Goldman,Mejor Actor Principal,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Ciencia ficción,,60
Summer Palace,2006,China,Chino,Lou Ye,6.6,Warner Bros. Pictures,PG,Bai Xueyun, Cui Lin, Duan Yihong, Guo Xiaodong, Hao Lei, Le Chi,,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Romance,,90
Pottersville,2017,Estados Unidos,Ingles,Seth Henrikson,3.8,Columbia Pictures,R,Michael Shannon, Christina Hendricks, Judy Greer, Ron Perlman, Ian McShane, Thomas Lennon,,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Comedia,,90
T-Rex,2015,Estados Unidos,Ingles,"Zackary Canepari, Drea Cooper",5.8,DreamWorks Pictures,PG,,,,,,,Mejor Actriz Principal,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",Acción,,120
Asamblea,2019,España,Español,Álex Montoya,5.6,A24,NR,Nacho Fresneda, Francesc Garrido, Jordi Aguilar, Cristina Plazas, Abdelatif Hwidar, Greta Fernández,Mejor Diseño de Producción,Fusce consequat. Nulla nisl. Nunc nisl.,Comedia,,150
Elephant,2003,Estados Unidos,Ingles,Gus Van Sant,6.5,Pixar Animation Studios,PG-13,Alex Frost, Eric Deulen, John Robinson, Elias McConnell, Jordan Taylor, Carrie Finklea,Mejor Actriz Principal,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Drama,,90
Summer Camp,2015,España,Español,Alberto Marini,4.1,Columbia Pictures,NR,Diego Boneta, Maiara Walsh, Jocelin Donahue, Andrés Velencoso, Mark Schardan, Rick Zingale,Mejor Película,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Terror,,60
El exterminador,2016,Estados Unidos,Ingles,Brad Peyton,4.5,Screen Gems,G,Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, Karolina Wydra, John Pirruccello, Emily Jackson,,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Terror, Thriller,90
Superman II: El montaje de Richard Donner,2006,Reino Unido,Ingles,Richard Donner,6.5,Miramax,PG-13,Christopher Reeve, Gene Hackman, Marlon Brando, Ned Beatty, Jackie Cooper, Sarah Douglas,Mejor Actriz Principal,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Acción, Ciencia ficción,90
Noctem,2017,España,Español,Marcos Cabotá,4,Sony Pictures Entertainment,R,Adrián Lastra, Álex González, Esteban Piñero, Ernesto Alarcón, Raquel Arroyo, María Beltrán,Mejor Actriz Principal,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Intriga, Terror,120
Los ojos del mal (See No Evil),2006,Estados Unidos,Ingles,Gregory Dark,4.2,Walt Disney Pictures,R,Glen Jacobs, Craig Horner, Tiffany Lamb, Penny McNamee, Samantha Noble, Matthew Okine,,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Terror,,60
Elena,2011,Rusia,Ruso,Andrey Zvyagintsev,6.9,Miramax Films,R,Nadezhda Markina, Elena Lyadova, Aleksey Rozin, Andrey Smirnov, Evgeniya Konushkina, Igor Ogurtsov,,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,Drama,,45
Fish Story,2009,Japón,Japones,Yoshihiro Nakamura,7,Miramax,PG-13,Gaku Hamada, Atsushi Ito, Kengo Kora, Mirai Moriyama, Nao Omori, Vincent Giry,Mejor Guión,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Comedia,,60
Me necesitas,2017,Estados Unidos,Ingles,Brent Bonacorso,3.7,A24,NC-17,Bella Thorne, Halston Sage, Taylor John Smith, Anna Akana, Nash Grier, Jennifer Esposito,Mejor Película,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Thriller,,
Malevolent,2018,Reino Unido,Ingles,Olaf de Fleur Johannesson,3.8,Walt Disney Pictures,PG-13,Florence Pugh, Celia Imrie, Ben Lloyd-Hughes, Scott Chambers, Georgina Bevan, Stephen McCole,Mejor Diseño de Vestuario,,Terror, Thriller,
Allacciate le cinture,2014,Italia,Italiano,Ferzan Ozpetek,5.8,Lionsgate Films,PG-13,Kasia Smutniak, Francesco Arca, Filippo Scicchitano, Carolina Crescentini, Paola Minaccioni, Elena Sofia Ricci,Mejor Actriz Principal,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",Romance,,
The Trotsky,2009,Canadá,Ingles,Jacob Tierney,5.8,DreamWorks Pictures,NC-17,Jay Baruchel, Emily Hampshire, Geneviève Bujold, Colm Feore, Saul Rubinek, Michael Murphy,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Comedia,,150
"No te preocupes, no llegará lejos a pie ",2018,Estados Unidos,Ingles,Gus Van Sant,6.3,Warner Bros. Pictures,G,Joaquin Phoenix, Rooney Mara, Jonah Hill, Jack Black, Mark Webber, Peter Banifaz,,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Drama,,
Las vidas posibles de Mr. Nobody,2009,Bélgica,,Jaco Van Dormael,7.2,Columbia TriStar Motion Picture Group,PG-13,Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham, Rhys Ifans, Natasha Little,Mejor Edición,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Ciencia ficción, Drama,90
Kung Fu Yoga,2017,China,Chino,Stanley Tong,3.9,Miramax,PG,Jackie Chan, Aarif Lee, Disha Patani, Sonu Sood, Zhang Yì Xìng, Kevin Lee,,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Acción, Aventuras,45
Octane,2003,Reino Unido,Ingles,Marcus Adams,3.8,Walt Disney Pictures,PG,Madeleine Stowe, Mischa Barton, Bijou Phillips, Norman Reedus, Jonathan Rhys Meyers, Leo Gregory,,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Intriga, Thriller,90
La isla del tesoro,2001,Canadá,Ingles,Peter Rowe,5,Legendary Pictures,PG,Jack Palance, Kevin Zegers, David Robb, Walter Sparrow, Patrick Bergin, Sarah Holland,,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Aventuras,,
El faro,2019,Estados Unidos,Ingles,Robert Eggers,6.7,Miramax,PG-13,Willem Dafoe, Robert Pattinson,,,,,Mejor Banda Sonora Original,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Drama, Fantástico,150
Wendy y Lucy,2008,Estados Unidos,Ingles,Kelly Reichardt,6.9,Village Roadshow Pictures,G,Michelle Williams, Will Patton, Will Oldham, John Breen, Wally Dalton, John Robinson,Mejor Diseño de Producción,,Drama,,90
Ricki,2015,Estados Unidos,Ingles,Jonathan Demme,5.1,STX Entertainment,G,Meryl Streep, Kevin Kline, Mamie Gummer, Sebastian Stan, Ben Platt, Charlotte Rae,Mejor Director,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Drama, Comedia,
Death Note: El último nombre,2006,Japón,Japones,Shusuke Kaneko,6,20th Century Studios,NC-17,Tatsuya Fujiwara, Takeshi Kaga, Shido Nakamura, Ken'ichi Matsuyama, Erika Toda, Shigeki Hosokawa,Mejor Actor Principal,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,Fantástico, Intriga,45
Djinn,2013,Emiratos Árabes,Arabe,Tobe Hooper,3.7,Toho Company,PG,Khalid Laith, Razane Jammal, Aiysha Hart, Carol Abboud, Saoud Al Kaabi, May Calamawy,,Nullam molestie nibh in lectus. Pellentesque at nulla.,Fantástico, Terror,60
Policías de Queens,2011,Estados Unidos,Ingles,Dito Montiel,4.3,DreamWorks Pictures,G,Channing Tatum, Tracy Morgan, Katie Holmes, Ray Liotta, Juliette Binoche, Al Pacino,Mejor Actriz Principal,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Acción, Thriller,90
La prueba,2003,Estados Unidos,Ingles,Roger Donaldson,6.2,Miramax,PG,Colin Farrell, Al Pacino, Bridget Moynahan, Gabriel Macht, Mike Realba, Dom Fiore,Mejor Película,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Acción, Thriller,45
La bocca del lupo,2009,Italia,Italiano,Pietro Marcello,6.5,DreamWorks Pictures,G,Vincenzo Motta, Mary Monaco,,,,,Mejor Banda Sonora Original,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Romance,,60
Management,2008,Estados Unidos,Ingles,Stephen Belber,4.7,Miramax,G,Jennifer Aniston, Steve Zahn, Woody Harrelson, Margo Martindale, Fred Ward, Tzi Ma,Mejor Película,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,Comedia, Romance,60
Requiem for a Killer,2011,Francia,Frances,Jérôme Le Gris,4.4,Marvel Studios,PG,Mélanie Laurent, Clovis Cornillac, Tchéky Karyo, Xavier Gallais, Christopher Stills, Corrado Invernizzi,,In congue. Etiam justo. Etiam pretium iaculis justo.,Thriller,,60
The Devil's Rock,2011,Nueva Zelanda,Ingles,Paul Campion,5.5,Working Title Films,PG,Craig Hall, Matthew Sunderland, Gina Varela, Karlos Drinkwater, Luke Hawker, Jessica Grace Smith,,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Acción, Fantástico,90
Sin reservas,2007,Estados Unidos,Ingles,Scott Hicks,5.4,Sony Pictures Entertainment,G,Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson, Jenny Wade, Bob Balaban,,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Comedia, Romance,60
Juegos de mujer,2004,Reino Unido,Ingles,John Duigan,5.3,Columbia Pictures,NR,Charlize Theron, Penélope Cruz, Stuart Townsend, Thomas Kretschmann, Steven Berkoff, David La Haye,Mejor Actriz Principal,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Drama, Romance,
Un amor de altura,2005,Francia,Frances,Rémi Bezançon,5.8,Columbia Pictures,PG-13,Vincent Elbaz, Marion Cotillard, Gilles Lellouche, Elsa Kikoine, Didier Bezace, Tom Novembre,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Comedia, Romance,120
The Business of Strangers,2001,Estados Unidos,Ingles,Patrick Stettner,5.3,Blumhouse Productions,NR,Stockard Channing, Julia Stiles, Frederick Weller, Mary Testa, Jack Hallett, Marcus Giamatti,,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Thriller,,90
El extraordinario viaje de T.S. Spivet,2013,Francia,Frances,Jean-Pierre Jeunet,6.5,Legendary Pictures,G,Kyle Catlett, Helena Bonham Carter, Robert Maillet, Judy Davis, Callum Keith Rennie, Julian Richings,,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Aventuras, Comedia,90
Su mejor historia,2016,Reino Unido,Ingles,Lone Scherfig,6.1,Village Roadshow Pictures,G,Gemma Arterton, Sam Claflin, Jack Huston, Bill Nighy, Jake Lacy, Paul Ritter,Mejor Director,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Comedia, Romance,90
Todas las cosas buenas,2010,Estados Unidos,Ingles,Andrew Jarecki,5.6,Toho Company,PG-13,Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe, Nick Offerman, Philip Baker Hall,,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",Drama, Intriga,90
Bajo la misma estrella,2014,Estados Unidos,Ingles,Josh Boone,6.6,Miramax,NR,Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell, Willem Dafoe,,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Drama, Romance,150
In Her Skin,2009,Australia,Ingles,Simone North,5.8,Legendary Pictures,PG-13,Guy Pearce, Miranda Otto, Ruth Bradley, Sam Neill, Kate Bell, Khan Chittenden,,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Thriller,,90
El renacido,2015,Estados Unidos,Ingles,Alejandro González Iñárritu,7.2,Lionsgate Films,PG-13,Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson,,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Aventuras, Western,90
Girl,2018,Bélgica,,Lukas Dhont,7.1,Warner Bros. Pictures,PG,Victor Polster, Arieh Worthalter, Valentijn Dhaenens, Oliver Bodart, Tijmen Govaerts,,,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Drama,,90
El efecto K. El montador de Stalin,2012,España,Español,Valentí Figueres,5.6,Regency Enterprises,PG,Jordi Collado, Marisa Ibañez, Anthony Senen, Valentí Piñot, Antonio Bachero, Jordi Boixaderas,,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Aventuras,,90
Mac &amp; Devin Go to High School,2012,Estados Unidos,Ingles,Dylan C. Brown,3.4,Village Roadshow Pictures,PG,Snoop Dogg, Wiz Khalifa, Mike Epps, Andy Milonakis, Teairra Mari, Paul Iacono,Mejor Actriz de Reparto,In sagittis dui vel nisl. Duis ac nibh.,Comedia,,90
A por todas de nuevo,2004,Estados Unidos,Ingles,Damon Santostefano,3.6,Blumhouse Productions,PG-13,Anne Judson-Yager, Bree Turner, Kevin Cooney, Faune Chambers Watkins, Bryce Johnson, Richard Lee Jackson,,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Comedia,,90
Mascots,2016,Estados Unidos,Ingles,Christopher Guest,4.6,Miramax,PG-13,Jennifer Coolidge, Parker Posey, Chris O'Dowd, Harry Shearer, John Michael Higgins, Jane Lynch,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Comedia,,
Shortwave,2016,Estados Unidos,Ingles,Ryan Gregory Phillips,4.2,Walt Disney Pictures,G,Cristobal Tapia Montt, Katie Carthen, Kyle Davis, Jay Ellis, Mick Ignis, Sara Malakul Lane,Mejor Actor Principal,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Terror,,90
